Kana,Rōmaji,Significato,Kanji
みず,mizu,acqua,
ひこうき,hikouki,aereo,
あい,ai,amore,
いく,iku,andare,
どうぶつ,dōbutsu,animale,
きく,kiku,ascoltare,聞く
あき,aki,autunno,
べんごし,bengoshi,avvocato,
ぎんこう,ginkou,banca,
ひげ,hige,barba,
のむ,nomu,bere,
きっぷ,kippu,biglietto,
あおい,aoi,blu,
くち,kuchi,bocca,口
いい,ii,buono,
いぬ,inu,cane,
うたう,utau,cantare,
うた,uta,canzone,
ぶたにく,butaniku,carne di maiale,
こい,koi,carpa,
いえ,ie,casa,
うま,uma,cavallo,
きやべつ,kiyabetsu,cavolo,
かぎ,kagi,chiavi,
そら,sora,cielo,
まち,machi,città,
きゃく,kyaku,cliente,
かい,kai,conchiglia,
うさぎ,usagi,coniglio,
もの,mono,cosa (thing),
なに,nani,cosa?,
いとこ,itoko,cugino,
こころ,kokoro,cuore,
いるか,iruka,delfino,
のぞみ,nozomi,desiderio/speranza,
いう,iu,dire,言
じしょ,jisho,dizionario,
あした,ashita,domani,
にちようび,nichiyoubi,domenica,
あさって,asatte,dopodomani,
りゅう,ryū,drago,
やすい,yasui,economico,
まちがい,machigai,errore,
なつ,natsu,estate,
そと,soto,esterno,
みんぞく,minzoku,etnia,
かお,kao,faccia,
まめ,mame,fagioli,
まつり,matsuri,festival,
ひも,himo,filo,
はな,hana,fiore/naso,
もり,mori,foresta,
かたち,katachi,forma,
いちご,ichigo,fragola,
きって,kitte,francobollo,
あに,ani,fratello maggiore,
はなび,hanabi,fuochi d'artificio,花火
にわとり,niwatori,gallina,
ねこ,neko,gatto,
にわ,niwa,giardino,
もくようび,mokuyoubi,giovedì,
へび,hebi,hebi,
きのう,kinō,ieri,
まず,mazu,inizio,
なか,naka,interno,
ふゆ,fuyu,inverno,
あそこ,asoko,là,
じゅぎょう,jugyou,lezione,
ほん,hon,libro,
けいご,keigo,linguaggio onorifico,
つき,tsuki,luna,
げつようび,getsuyoubi,lunedì,
おおかみ,ookami,lupo,
ぶた,buta,maiale,
みかん,mikan,mandarino,
うみ,umi,mare,
かようび,kayoubi,martedì,
あさ,asa,mattino,
なす,nasu,melanzana,
すいようび,suiyoubi,mercoledì,
やま,yama,montagna,
びじゅつかｎ,bijutsukan,museo,
みせ,mise,negozio,
ゆき,yuki,neve,
なまえ,namae,nome,
ばんごう,bangou,numero,
め,me,occhio,目
きょう,kyō,oggi,
かさ,kasa,ombrello,
みみ,mimi,orecchio,
とけい,tokei,orologio,
びょういん,byouin,ospedale,
ぬの,nuno,panno,
ひと,hito,persona,人
さかな,sakana,pesce,
あし,ashi,piede,
たこ,tako,polpo,
ひる,hiru,pomeriggio,
はる,haru,primavera,
けいこ,keiko,prova,
おすすめ,osusume,raccomandazione,
はなし,hanashi,racconto,
あか,aka,rosso,
どようび,doyoubi,sabato,
しお,shio,sale,
つくえ,tsukue,scrivania,
がっこう,gakkou,scuola,
いす,isu,sedia,
よる,yoru,sera,
ひらめ,hirame,sogliola,
おかね,okane,soldi,
まゆげ,mayuge,sopracciglia,
とげ,toge,spina,
きせつ,kisetsu,stagione,
へや,heya,stanza,
えき,eki,stazione,
とうきょうえき,toukyoueki,stazione di tokyo,
みち,michi,strada,
がくせい,gakusei,studente,
だいがくせい,daigakusei,studente universitario,
すし,sushi,sushi,
たいこ,taiko,tamburo,
テイブル,teiburu,tavolo,
ちゃ,cha,tè,
とら,tora,tigre,
でんしゃ,densha,treno,
ただし,tadashi,tuttavia,
とり,tori,uccello,
ゆうびんきょ,yuubinkyo,ufficio postale,
やすみ,yasumi,vacanze,
なつやすみ,natsuyasumi,vacanze estive,
みる,miru,vedere,見る
きんようび,kinyoubi,venerdì,
やさい,yasai,verdura,
りょこう,ryokou,viaggio,
かお,kao,viso,
こえ,koe,voce,
きつね,kitsune,volpe,